group	label
160	Adjusted AIC penalty = 1.4214
161	Adjusted AIC penalty = 1.4214
162	Adjusted AIC penalty = 1.4214
163	Adjusted AIC penalty = 1.4214
164	Adjusted AIC penalty = 1.4214
165	Adjusted AIC penalty = 1.4214
166	Adjusted AIC penalty = 1.4214
167	Adjusted AIC penalty = 1.4214
168	Adjusted AIC penalty = 1.4214
169	Adjusted AIC penalty = 1.4214
170	Adjusted AIC penalty = 1.4214
171	Adjusted AIC penalty = 1.4214
172	Adjusted AIC penalty = 1.4214
173	Adjusted AIC penalty = 1.4214
174	Adjusted AIC penalty = 1.4214
175	Adjusted AIC penalty = 1.4214
176	Adjusted AIC penalty = 1.4214
177	Adjusted AIC penalty = 1.4214
178	Adjusted AIC penalty = 1.4214
179	Adjusted AIC penalty = 1.4214
180	Adjusted AIC penalty = 1.4214
181	Adjusted AIC penalty = 1.4214
182	Adjusted AIC penalty = 1.4214
183	Adjusted AIC penalty = 1.4214
184	Adjusted AIC penalty = 1.4214
185	Adjusted AIC penalty = 1.4214
186	Adjusted AIC penalty = 1.4214
187	Adjusted AIC penalty = 1.4214
188	Adjusted AIC penalty = 1.4214
189	Adjusted AIC penalty = 1.4214
190	Adjusted AIC penalty = 1.4214
191	Adjusted AIC penalty = 1.4214
192	Adjusted AIC penalty = 1.4214
193	Adjusted AIC penalty = 1.4214
194	Adjusted AIC penalty = 1.4214
195	Adjusted AIC penalty = 1.4214
196	Adjusted AIC penalty = 1.4214
197	Adjusted AIC penalty = 1.4214
198	Adjusted AIC penalty = 1.4214
199	Adjusted AIC penalty = 1.4214
200	Adjusted AIC penalty = 1.4214
201	Adjusted AIC penalty = 1.4214
202	Adjusted AIC penalty = 1.4214
203	Adjusted AIC penalty = 1.4214
204	Adjusted AIC penalty = 1.4214
205	Adjusted AIC penalty = 1.4214
206	Adjusted AIC penalty = 1.4214
207	Adjusted AIC penalty = 1.4214
208	Adjusted AIC penalty = 1.4214
209	Adjusted AIC penalty = 1.4214
210	Adjusted AIC penalty = 1.4214
211	Adjusted AIC penalty = 1.4214
212	Adjusted AIC penalty = 1.4214
213	Adjusted AIC penalty = 1.4214
214	Adjusted AIC penalty = 1.4214
215	Adjusted AIC penalty = 1.4214
216	Adjusted AIC penalty = 1.4214
217	Adjusted AIC penalty = 1.4214
218	Adjusted AIC penalty = 1.4214
219	Adjusted AIC penalty = 1.4214
220	Adjusted AIC penalty = 1.4214
221	Adjusted AIC penalty = 1.4214
222	Adjusted AIC penalty = 1.4214
223	Adjusted AIC penalty = 1.4214
224	Adjusted AIC penalty = 1.4214
225	Adjusted AIC penalty = 1.4214
226	Adjusted AIC penalty = 1.4214
227	Adjusted AIC penalty = 1.4214
228	Adjusted AIC penalty = 1.4214
229	Adjusted AIC penalty = 1.4214
230	Adjusted AIC penalty = 1.4214
231	Adjusted AIC penalty = 1.4214
232	Adjusted AIC penalty = 1.4214
233	Adjusted AIC penalty = 1.4214
234	Adjusted AIC penalty = 1.4214
235	Adjusted AIC penalty = 1.4214
236	Adjusted AIC penalty = 1.4214
237	Adjusted AIC penalty = 1.4214
238	Adjusted AIC penalty = 1.4214
239	Adjusted AIC penalty = 1.4214
240	Adjusted AIC penalty = 1.4214
241	Adjusted AIC penalty = 1.4214
242	Adjusted AIC penalty = 1.4214
243	Adjusted AIC penalty = 1.4214
244	Adjusted AIC penalty = 1.4214
245	Adjusted AIC penalty = 1.4214
246	Adjusted AIC penalty = 1.4214
247	Adjusted AIC penalty = 1.4214
248	Adjusted AIC penalty = 1.4214
249	Adjusted AIC penalty = 1.4214
250	Adjusted AIC penalty = 1.4214
251	Adjusted AIC penalty = 1.4214
252	Adjusted AIC penalty = 1.4214
253	Adjusted AIC penalty = 1.4214
254	Adjusted AIC penalty = 1.4214
255	Adjusted AIC penalty = 1.4214
256	Adjusted AIC penalty = 1.4214
257	Adjusted AIC penalty = 1.4214
258	Adjusted AIC penalty = 1.4214
259	Adjusted AIC penalty = 1.4214
260	Adjusted AIC penalty = 1.4214
261	Adjusted AIC penalty = 1.4214
262	Adjusted AIC penalty = 1.4214
263	Adjusted AIC penalty = 1.4214
264	Adjusted AIC penalty = 1.4214
265	Adjusted AIC penalty = 1.4214
266	Adjusted AIC penalty = 1.4214
267	Adjusted AIC penalty = 1.4214
268	Adjusted AIC penalty = 1.4214
269	Adjusted AIC penalty = 1.4214
270	Adjusted AIC penalty = 1.4214
271	Adjusted AIC penalty = 1.4214
272	Adjusted AIC penalty = 1.4214
273	Adjusted AIC penalty = 1.4214
274	Adjusted AIC penalty = 1.4214
275	Adjusted AIC penalty = 1.4214
276	Adjusted AIC penalty = 1.4214
277	Adjusted AIC penalty = 1.4214
278	Adjusted AIC penalty = 1.4214
279	Adjusted AIC penalty = 1.4214
280	Adjusted AIC penalty = 1.4214
281	Adjusted AIC penalty = 1.4214
282	Adjusted AIC penalty = 1.4214
283	Adjusted AIC penalty = 1.4214
284	Adjusted AIC penalty = 1.4214
285	Adjusted AIC penalty = 1.4214
286	Adjusted AIC penalty = 1.4214
287	Adjusted AIC penalty = 1.4214
288	Adjusted AIC penalty = 1.4214
289	Adjusted AIC penalty = 1.4214
290	Adjusted AIC penalty = 1.4214
291	Adjusted AIC penalty = 1.4214
292	Adjusted AIC penalty = 1.4214
293	Adjusted AIC penalty = 1.4214
294	Adjusted AIC penalty = 1.4214
295	Adjusted AIC penalty = 1.4214
296	Adjusted AIC penalty = 1.4214
297	Adjusted AIC penalty = 1.4214
298	Adjusted AIC penalty = 1.4214
299	Adjusted AIC penalty = 1.4214
300	Adjusted AIC penalty = 1.4214
301	Adjusted AIC penalty = 1.4214
302	Adjusted AIC penalty = 1.4214
303	Adjusted AIC penalty = 1.4214
304	Adjusted AIC penalty = 1.4214
305	Adjusted AIC penalty = 1.4214
306	Adjusted AIC penalty = 1.4214
307	Adjusted AIC penalty = 1.4214
308	Adjusted AIC penalty = 1.4214
309	Adjusted AIC penalty = 1.4214
310	Adjusted AIC penalty = 1.4214
311	Adjusted AIC penalty = 1.4214
312	Adjusted AIC penalty = 1.4214
313	Adjusted AIC penalty = 1.4214
314	Adjusted AIC penalty = 1.4214
315	Adjusted AIC penalty = 1.4214
316	Adjusted AIC penalty = 1.4214
317	Adjusted AIC penalty = 1.4214
318	Adjusted AIC penalty = 1.4214
319	Adjusted AIC penalty = 1.4214
320	Adjusted AIC penalty = 1.4214
321	Adjusted AIC penalty = 1.4214
322	Adjusted AIC penalty = 1.4214
323	Adjusted AIC penalty = 1.4214
324	Adjusted AIC penalty = 1.4214
325	Adjusted AIC penalty = 1.4214
326	Adjusted AIC penalty = 1.4214
327	Adjusted AIC penalty = 1.4214
328	Adjusted AIC penalty = 1.4214
329	Adjusted AIC penalty = 1.4214
330	Adjusted AIC penalty = 1.4214
331	Adjusted AIC penalty = 1.4214
332	Adjusted AIC penalty = 1.4214
